relative_time,MagneticRotationSensor
0,2797.922121022114
50,2797.9457095513803
117,2797.3757228463887
185,2797.8820163718415
249,2797.870137110584
316,2797.524861059395
384,2797.3824237771128
449,2797.2628315665556
517,2797.489206581663
584,2797.4127243603957
650,2797.490930774484
716,2797.2727651968926
784,2797.368204900917
850,2797.4725749706727
916,2797.83977069585
984,2797.441464380485
1049,2797.020928844963
1117,2797.2399109074213
1184,2797.018381505401
1250,2796.8158867859515
1317,2797.492414951825
1384,2797.476229497729
1450,2797.5200185914505
1517,2797.2475361659262
1584,2797.309935455729
1650,2797.9746593376485
1717,2797.696309688881
1784,2797.600583338389
1850,2796.864215489284
1916,2797.166031005225
1982,2797.549486555916
2050,2797.0080464752764
2117,2797.417407131094
2184,2797.31541361223
2250,2797.2914715040397
2317,2797.3475766364204
2384,2797.340660463658
2449,2797.1218678327336
2517,2797.312404895987
2584,2797.450599517881
2650,2797.476880860927
2716,2797.3366248206125
2784,2796.9078791461675
2849,2797.002657357421
2917,2797.7337903812186
2984,2797.749037613774
3049,2796.7978383397767
3117,2797.4208432164323
3184,2796.9105652923254
3250,2797.90919782866
3316,2797.405222967404
3384,2797.1851424382457
3450,2797.699687357666
3517,2797.4166419719754
3584,2797.3698489181706
3650,2797.365624931445
3717,2797.287584830831
3784,2797.3768962350064
3850,2797.262743567869
3917,2796.753354321659
3982,2797.1773053061593
4050,2797.2593320747146
4117,2797.4933138042825
4184,2797.213057581857
4250,2797.3240892509666
4316,2797.239477439853
4384,2797.3426518613637
4450,2797.526930320768
4516,2797.569414657055
4584,2797.412783653679
4650,2797.0810657113525
4716,2797.227871581766
4784,2796.716884875334
4850,2797.6256346306327
4917,2796.6242413322057
4987,2796.6915380380497
5050,2797.2357130973487
5117,2797.3702650551572
5182,2796.9006547027443
5250,2797.0781613574045
5316,2796.9109466667073
